,comment,sentimen
36,"WC sekolah harus bersih, terutama di sekolah2 negeri.",Neutral
37,Tidak adil,Neutral
38,"Kok guru terus sih, guru itu juga pns/ asn lho",Neutral
39,Jawa tengah Banyumas hadir,Neutral
40,"Untuk yang tidak tahu ini katanya naik , untuk guru, ini bukan kenaikan karena memang program tunjangan profesi memang sudah ada dari awal , itu yang katanya naik gaji , yg belum pns atau ppppk hanya naik 500rb untuk yang sertifikasi , Untuk Guru yang belum sertifikasi atau honor sekolah dengan dana bos Menangis mendengar Isu kenaikan ini , Ini bukan menghujat , tolong pak prabowo ditinjau lagi dan di observasi dulu ke lapangan demi mensejahterakan guru guru di tanah air tercinta ini , salam",Neutral
41,"Kapan bapak gajih orang kesehatan di naikkan kami para nakes capek kerja ship2 pan, karna sehat dulu baru bisa cerdas, km pengbdi negara dulu tks nggak di gajih, honda jga gajih nggak seberpa di bawah satu juta, skg p3k pak harus di angkat pns, naikkan gajih kami para tenaga nakes medis 🙏",Neutral
42,Trimakasih bapak Prabowo Subianto persiden terpilih semoga negara jadi makmur sejahtera jendralku 👍🏻👍🏻💯💯🇮🇩🇮🇩🇮🇩,Neutral
43,Pak presiden Prabowo menangis tapi saya lebih sakit hati dan menangis bapak presiden pidato A pak menteri dan Wamen pendidikan dasar dan menengah bilang lain...pak saya guru agama kristen ASN belum sertifikasi apakah akan diundang ikut PPG...bapak yang benar mana pidato bapak ato Mentri,Neutral
44,"Dengarkan wahai para guru, kalian harus bener2 menjadi seorang guru yg disiplin..",Neutral
45,Hhhhhjnnnmmmmm,Neutral
46,Pak presiden prabowo hebat kami... Sehat selalu pak presiden.. Amin,Neutral
47,Saya sangat setuju,Neutral
48,"Yg benar yg mana si. Ada yg ngomong gak naik, ada lgi yg ngomong naik...Negeri yg membingungkan😂😂😂😂",Neutral
49,Sukurlah naik tapi guru juga harus meñingkatkan cara mengajarnya hysusnya yg di kampung² guru skrg banyak yg main hp main gime dlm kelas. muridnya kebanyakan tdk bisa hapal pancasila apa lg hapal perkalian sampai 100 dan lain²nya,Positive
50,"Pak Prabowo tidak ngajak kita nangis, tapi kok airmata keluar otomatis 🙂‍↕️",Neutral
51,Terima kasih Bapak Presiden dan seluruh jajaran pemerintahannya semoga sekarang dan kedepannya sesuai seperti yang.bapak ucapkan itu segala kebijakan dan kearsipan bapak semoga Allah SWT membalasnya Aamiin Ya Allah Yarobalalamiin,Neutral
52,"Bagus menaikan gajih guru..TAPI TOLONG JANGAN NAIKAN PPN..usaha saya warung sembako ,sangat terasa sekali dengan kenaikan PPN",Neutral
53,Omon omon,Neutral
54,Mboyak lorr...kuli panggah renek mundake,Neutral
55,Wajah indonesia dapat uang malah nangis😂,Neutral
56,"pak gimana dg nasib nakes yg dinas pagi,sore,malam,tanpa kenal waktu hujan,badai masih ditempuh pak....miris rasanya....",Neutral
57,Gak ad kenaikan gaji 😂.,Neutral
58,"POKO,E PRESIDEN 2024 NGANTI 2050, TETEP BAPAK PRABOWO , BISO NGELINDUNGI RAKYAT SAK NUSANTARA , RAKYAT MASI DI AJAK PERANG YO NGANUT DEMI NKRI HARGA MATI .
(WONG ALAS TENGGER)",Negative
59,Ya Allah.....❤❤❤❤,Neutral
60,PK bagemana nasip guru yg honor di swasta PK karena anak ku honor udah lama dari masa kuliah sampai saat ini di SMP hongtuah yayasan TNI di Lampung apa bisa di angkat jadi guru p3k atau PNS tolong PK nasip guru honor swasta,Neutral
61,"Alhamdulillah, air mata saya bergenang sebagai guru walau di Malaysia. Nilai seorang guru dihargai. Allahuakbar ! Allahuakbar ! Allahuakbar !",Neutral
62,apakah yg pensiunan jg naik,Neutral
63,"Terima kasih pak Mulyono atas nama 58,% warga Indonesia,,negara Indonesia begini-2 saja😅😅😅😅",Neutral
64,benar2jah naik gaji..?? ..cobalah  hitung2an,Neutral
65,🥰🥰💪💪👍,Neutral
66,"Semoga Allah SWT sllu menjaga dan melindungi pak Prabowo08 dimanapun berada, Aamiin YRA...",Neutral
67,0:11,Neutral
68,"Lanjutkan pak Prabowo. Semoga pak Prabowo d berikan umur panjang dan sehat slalu, oleh ALLAH SWT.",Neutral
69,Pak presiden Prabowo Yth trimakasih sudah menaikan gaji Guru tapi harga pangan juga di naikan atau distabilkan pak trimakasih,Neutral
70,28 Des. 2024 adalah Hari Prank Nasional  korbannya adalah guru,Neutral
71,Semoga betol pak trimakasih,Neutral
72,❤❤❤,Neutral
73,"The best Indonesia emas
Pendidikan
N orang miskin Aminnn",Positive
74,Saya fikir yg naik semua guru ternyata hanya guru sertifikasi yg dinaikkan 🤣🤣🤣🤣 apa kabar dengan honorer?,Neutral
75,"Alhamdulillah BPK pemimpin bangsa kita sa,at ini, 3 periode saya memilih BPK sekarang berhasil ......selamat BPK kmi ,semoga BPK selalu sehat dn selalu dlm perlindungan dr Allah .",Neutral
76,Barokallohulaka jazakumulloh Khoiron BPK presiden RI Prabowo Subianto panjang umurnya sehat selalu yaa Alloh aamiin yaa robbal 'alamiin aamiin 🤲 🤲 🤲 🙏♥️♥️♥️ walau kami hanya SBG guru ngaji Qur'an ikut berbahagia Krn dulu kami pendidik SMA...Krn persaingan kami dikeluarkan ...SMG yg ngeluarkan kami diberi ampun sama Alloh SWT 😢😢😢❤❤❤,Neutral
77,"BPK Prabowo presiden yg luarbiasa.
Dua periode untk seluruh rakyt Indonesia.
X dr Papua Barat daya.x guru PPPK.terimaksh BP presidn BP Prabowo subianto.slm dua periode.bpk luarbiasa.",Neutral
78,"Luarbiasa BPK Prabowo presiden kita.x dr Papua Barat daya.
BPK Prabowo memng BPK yg cerdas bijaksana dn terhormat.",Neutral
79,"Luarbiasa BPK presiden prabowo.bpk presiden yg handal terhormat santun,beretika dr sglny",Neutral
80,Pak ko gaji guru aja yng naik gaji buruh harian bagai mana kalau bisa pak bbm diturunkan juga,Neutral
81,"Jangan cakap saja pak prabowo bukti kn dulu dgn bagi naik gaji guru...jgn asik berucap saja war2 ..yg penting nya tu ..bukti kn dulu naik kn gaji guru secepat nya..gaji apa guru rp 2 juta ..sekurang2 nya guru gaji rp 8 juta .hingga rp 15 juta..ayuh pak prabowo bukti kn dulu ..jgn asik berucap saja itu semua tak penting..
Yg penting bukti kn dulu dgn naik kn gaji guru secepat nya..jangan di tunggu lagi .naik kn gaji guru secepat nya..",Neutral
82,Hentikan pembangunan desa yang gak penting. Lahan korupsi,Neutral
83,Gaji guru BTQ dan guru ngaji di TPQ juga mohon di perhatikan juga Pak Presiden,Neutral
84,Padahal guru banyak gak dukung beliau saat pilpres tapi beliau balas dengan kenaikan Gaji Guru....luar biasa bapak ini...,Neutral
85,"Bapak kalau pidato selalu kenak dihati, ucapannya menenangkan masyarakat, ucapannya bisa dipegang dan dipertanggung jawab kan, trimakasih PRESIDEN KU 🙏😊",Neutral
86,"Habis gelap terbilah terang ,Bapak Prabowo  subianto, Bapak  peresiden ku luarbiasa ,merah putih betul betul  tak memiliki noda lagi.semoga allah memberkahinya  selalu.",Neutral
87,"Dulu alm gusdur yg manaikkan gaji guru, semoga presiden ini juga barhasil.❤",Neutral
88,"menyala jendral, menyala presidenku.",Neutral
89,Semoga Bapak Presiden Prabowu sehat selalu Amiin 🤲🤲🤲,Neutral
90,Luar biasa 👍Semoga Pak Prabowo  selalu amanah  sehat  panjang umur dan melalui pendidikan Indonesia semakin maju di dunia internasional ..Aamiin YRA🤲,Neutral
91,"Terimakasi bapak  presiden, mohon perhatiannya, saya kurang lebih 20thn guru honor, umur Uda pensiun, tapi Masi tetap  saya mengajar😭🙏",Neutral
92,Setuju,Neutral
93,sekalian kualitas gurunya juga ditingkatkan,Neutral
94,Bapak presiden tolong sejahterakan nasip guru honorer dan guru swasta yang gajinya hanya 300 pe bulan,Neutral
95,"Semoga Pak Prabowo terus sihat memimpin Indonesia maju di masa depan, salam dari anak Melayu Malaysia buat Pak Prabowo, Presiden Indonesia yang paling kuhormati 🤲❤",Neutral
96,Masha Allah Luar Biasa Hati Bapak Presiden Kami Sehat Selalu Bapk Prabowo🤲🙏🥰💜,Neutral
97,Saya melayu malaysia tetap menyokong apa juga yg baik dari presiden anda untuk memajukan negara anda,Neutral
98,Nangis karena gak ada duitnya ya?,Neutral
99,"Setuju 🇮🇩❤️✌️hebat 
Presiden H Prabowo Subianto luar biasa ,luar biasa .Presiden ke 8.❤",Neutral
100,"Tanpa sadar, meneteskan air mata, mendengarkan pidato bapak Presidenku.
Semoga sehat terus Presidenku.
🤲",Neutral
101,"Sangat terharu mendengar pidato bapak Prabowo. Niatmu sangat mulia. Semoga sehat terus bapak Presiden, dan negara kita bisa menjadi negara Maju yg rakyatnya cerdas2 dan sejahtera.
Aamiiinnnn
🤲🤲🤲",Neutral
102,Siap pak presidenku saya guru honorer tdk pernah menyerah mendidik pada peserta didik demi anak  Bangsa dan Negara,Neutral
103,I love you pak❤️,Positive
104,Pak Prabowo Presiden pilihan rakyat is the best❤❤❤,Neutral
105,jangan dua periode 1 setengah periode juga ngak tau kalau banyak dubes nya.gimana para guru setuju,Neutral
106,kenapa menangis padahal ngak ngaruh apa apa naik yang udah sertifikasi itu mah udah otomatis wslaupun presiden nya pak bolot.jadi kenapa nangis .kalaupun pak bolot presiden nya juga bakal naik kalau sudah sertifikasi mah .omon omon doang.prnsiunan ada bonus 400 ribu mana buktinya dubes atau dusta besar.jangan jangandalampemerintahan juga banyak dubes nya,Neutral
107,Guru swasta gmn pak,Neutral
108,"Kita di prank, prank tingkat nasional. Tidak ada kenaikan gaji, yang ada hanya kenaikan tunjangan. Ternyata yang naik itu cuma tunjangan sertifikasi guru non ASN sebesar 500 ribu, yang tadinya 1,5 juta menjadi 2 juta. Tunjangan sertifikasi sejak zaman SBY tahun 2007 memang 1 kali gaji pokok.
 Istri saat menyimak pidato presiden sudah senang,  tetangga sudah nyiyir, banyak yg iri,,,,, ehh.....ternyata prank nasional",Neutral
109,Salam santun terimakasih bapak bagus mudah dimengerti terimakasih,Neutral
110,"Iki OPO maning ,",Neutral
111,Tindakan utama  Prabowo dan barisannya untuk membangunkan bangsa Indonesia  wajib meningkatkan kualitas pendidikan terutama infrasruktur pembangunan sekolah dan meningkatkan  gaji guru . Disamping itu tingkatkan pembangunan terutamanya jalanraya.,Neutral
112,Sehat selalu bpk bpk berjuang untuk rakyat,Neutral
113,Sehat selalu pak presiden,Neutral
114,siap Jendral...!!!,Neutral
115,"Gajih guru harus di setandarkan untuk seluruh indonesia ,,minimal paling kecil 3jt ....entah itu honor tau guru tetap ... karna banyak guru2 gajih 500 rb atau 1jt  ...",Negative
116,Tahun 2025 kira kira buln brp nanti di sdh bisa nerima tunjangan honorer?,Neutral
117,"Balu kli ini punya presiden mau mecat org yg mlakuin kesalahan
Han aja harus nanyak dulu
 sma majikn yg mngkn dia
Apakh mjikn nya yg jdi presiden ato dirinya pk wwo
Smpe sgitu nya mau nanyak dulu sma atasan😂😂😂",Neutral
118,Trimahkasih pak presidenku bapak prabowo subianto.terharu saya mendengar pidatomu pak presiden.🙏,Neutral
119,❤❤❤,Neutral
120,Omong kosong... Baru satu bulan kerja mana mungkin  bisa naikkan gaji segitu banuak.  Koruptor diberantas dulu pak.,Neutral
121,"Semoga amanah selalu ya Bapak presiden,terus pantau guru2 di indonesia",Neutral
122,Panjang umur ya Bapak...Semoga bangsa Indonesia ini bangkit dan maju di bawah pimpinan Bapak Jendral Prabowo Subianto. Hidup presidenku....,Neutral
123,Terimakasih bpk presiden❤❤❤❤❤❤❤❤❤❤,Neutral
124,Tidak menangiskah bapak Presiden Prabowo kpd para pensiunan dg gaji yg masih rendah,Neutral
125,"❤❤❤❤❤Bapak Presiden RI yang terbaik, yang tidak guru guru tidak akan melupakan, salam 2 periode dukungan penuh. mau tidak mau hanya kita punya yang bapak prabowo.",Neutral
126,Bahasa nya masih ambigu bagi saya,Neutral
127,Nonton ini sambil sarapan. Lah mewek sambil sarapan sampek nasi gak ketelen,Neutral
128,TUHAN YESUS MEMBERKATI. 🙏,Neutral
129,"Tdk bisa berkata kata,untuk pak presiden Prabowo,Semoga Allah senantiasa Melindungi Beliau,slalu diberikan kesehatan jasmani maupun Rohani",Neutral
130,pak prabowo cyman salah wakil aja,Neutral
131,Terima kasih Bapa Presiden Republik Indonesia.Segala usahamu untuk rakyat Indonesia diberkati oleh Tuhan Yang Maha Esa.,Neutral
132,"Hebat pilihan ku bpk perabowo subianto..guru adalah segalayah tanpa guru kita bukan apa"".semoga bahan poko d indo menjadi turun biar rakyat makmur..Aamiin..",Neutral
133,jgn pegawai negeri aja yg di perhatikan. perhatikan juga pegawai swasta yg tidak ada pensiunan. yg kaya makin kaya. yg miskin makin belangsak. perhatikan pak untuk buruh swasta. biar bisa hidup makin layak seperti orang orang yg pekerja punya pensiunan dan Jamsostek. kami rakyat kecil banyak terima kasih. bila bapak merespon untuk rakyat kecil seperti kami. tempat tinggal aja kami masih sewa dengan Pemda. telat brp hari sudah dapat teguran. maaf jadi curhat,Neutral
134,"GAJI Guru TPQ JUGA di perhatikan pak..
Saat ini gaji guru TPQ DI MOJOKERTO  HANYA 70 RIBU 1 BULAN😢😢",Neutral
135,"Masya Allah,,sungguh pengabdian bapak presiden sungguh luar biasa,,sehat selalu bapak presidenku yang terhormat bapak H.Prabowo Subianto❤❤,,semoga panjang umur dan sehat selalu,,Aamiin🤲..Presiden terbaik❤❤..",Neutral
136,Guru suka memeras murid jadi aku kurang dengan guru,Neutral
137,Kurang suka aku lebih baik bapak naikkan gaji pekerja kebon di kebon pt,Neutral
138,"Sya yg tdk mmliki kluarga guru,sy SANGAT BANGGA dg kenaikan gaji ini.,
Terimakasih Pak Prabowo",Neutral
139,yoy are the best bapak prabowo utk indonesia hebat adalah bermula dri guru indonesia maju,Positive
140,"jangan guru aja yg di pikirkan pak....wkwkkwkw...
banyak tuh satpol pp dan trntib ny ..msih butuh perhatian lebih.....makasih",Neutral
141,jangan sampai bohong lho pak....didepanmu juga banyak orang tua ...karena diluaran sana katanya ASN TIDAK NAIK...YANG NAIK HONORER MENJADI 2JUTA..KEMARIN 15OO..NAIK 500...TRUS ASN TIDAK NAIKKK...JANGAN BUAT KECEWA BANYAK ORANG PAK,Neutral
142,"Mengapa pak presiden menangis sementara gaji guru tidak naik seperti dulu cuma untuk honorer saja naik 500 ribu,, nampak sudah galau semuanya.",Neutral
143,MERDEKAAAA INDONESIAKUU🎉🎉 DALAM SEGALA BIDANG DAN ASPEK🎉🎉 BISMILLAH MENYALA PRESIDENKU❤❤,Neutral
144,"KaLo Dinegri Dinasty Wakanda got gorong2 Amsyooong,,, naikkan gaji Pejabad2 pegawai2 negri wakanda  Gampaaang,,, kan yg bayar juga Rakyat2 kecil, yg makin terbebani pajak selangit ekonomi syulit , hutang melejit , fakir menjerit....😊 Wakanda Wakanda ,Amsyooong",Neutral
145,"semangat terus buat bapak presiden atau wakil presiden dan guru guru se-Indonesia . 
pentingnya ada dukungan dari masyarakat dan sekitarnya, agar tetap damai untuk bangsa dan negara nya",Neutral
146,"Kami guru Indonesia terutama di SD negeri  sewaktu masih honor belasan tahun gajih honornya hanya 250.000 per bulan tapi kami tetap mengajar dan berdoa semoga ada perubahan penghasilan,tetapi tetap setia mengajar dengan semangat",Neutral
147,Tlong bantu yg masih honoril masih blm di angkat pak,Neutral
148,Pak smoga pesantren jg  bs d buat jd pmbyran mudah terjangkau untuk anak kami2 ini di kalangan ekonomi menegah ke bawah,Neutral
149,Siap mendukung pembrantasan korupsi,Neutral
150,Nasib guru yg sdh pensiunan bgmn pak? Apa ada perhatian juga yg sdh mengabdi puluhan tahun?,Neutral
151,Tetap semangat bapak presiden dan pak Gibran moga tetap semangat jadi pemimpin negara Indonesia ya bapak karna pak Prabowo dan pak Gibran engak akan terganti,Neutral
152,"Gaji guru naek ...
Rakyat biasa cuma dapat naek Pajak aja😂",Neutral
153,"Saya sudah mendirikan TK  Bunda Ramina di kelurah Kedabang Kecamatan Sintang kabupaten Sintang Provinsi Kalimantan Barat , tujuan saya menyiapkan Generasi Emas sejak usia dini. Sy bekerja di kelurahan kedabang, semoga pk Presiden mendukung sy dlm hal ini",Neutral
154,Bersih itu Indah,Neutral
155,"Terimakasih, sy pendukung pk Prabowo dari awal kegagal capres hingga jadi presiden.",Neutral
156,Mantap pk presiden kita,Neutral
157,❤,Neutral
158,Bagaimana pk nasib pensiun,Neutral
159,Bagi yang sudah sertifikasi sudah lama apanya yang baru,Neutral
160,Kalau cuma sertifikasi itu sudah program lama pk,Neutral
161,❤❤❤❤,Neutral
162,"Alhamdulillah,, akhirnya ada perhatian dari pemerintah tentang dunia pendidikan, setelah selama 10 tahun terpuruk,, anak-anak sekolah SMP banyak yg tidak bisa membaca, akhlak anak-anak rusak sungguh 10 tahun yg miris dunia pendidikan",Neutral
163,"Alhamdulillah sangat bersyukur, indonesia  benar2 memiliki sosok seorang pemimpin sejati😢Selalu menangis ketika mendengrkan pidato pak Prabowo😢😢😢",Neutral
164,Tolong untuk guru honorer lebih diperhatikan pak.,Neutral
165,Masya Allah ❤❤❤,Neutral
166,Mudah2an bapak Presiden juga memikirkan nasib para pensiunan guru juga dinaikkan gajinya aamiin.,Neutral
167,Mhon perhatianya Bpk...kami mengabdi 31 th...tdak S1 tidak serti...tugas dan beban kami sama Paak...,Neutral
168,Semoga pak Prabowo sehat dan berkah karena menghargai guru  dan  prabowo selalu sukses serta pola fikir maju seperti jepang yang menghargai guru,Neutral
169,Banga Kaya Alam Sekitar. Tapi tak tahu URUSIN. Yang diurusin bagimana erkaya keluarga dan Koroni.,Neutral
170,Get Well Soon INA 🇮🇩,Neutral
171,79tahun Merdaka tapi Rakyat dan Negara makin susah sama aja dizama colonial malah lebeh susah.,Neutral
172,"Assalamualaikum Pak Prabowo Subianto yg Terhormat.
Sayang mu Kepala Rakyat Indonesia Cuma 6,5. Persen kepada rakyat Kecil",Neutral
173,"Pak pers Prabowo jadi Artis Indobesia menangis waktu Pidato Guru Naik Gaji. Apa benaran ni, sejarah tunjok sebalik nya.",Neutral
174,Presidente RI pak Prabowo luar biasa bisa pimpin Indonesia jadi negara maju dan bebas korupsi. presidente yg sangat peduli rakyatnya.,Neutral
175,Petani bagaimana kami jg SDH sangat lama ingin merasakan hasil pertanian kami demi kesejahteraan keluarga kmi,Neutral
176,Rakyak bagaimana,Neutral
177,"Guru beli mobil baru... Buruh bayar pajak 12% sekolah makin mahal, biaya hidup makin melambung mantafff??? Merdekaaaa???",Neutral
178,Gila sih bpk satu ini baru menjabat sebentar gebrakannya udh banyak baget yaalla semoga beliau di beri umur panjang agar bisa memimpin Indonesia 2 periode 🙏,Neutral
179,Ya Allah sehatkan beliau dan berilah kesempatan KPD Prabowo utk menerus kan cita² beliau. Memajukan dan mensejahterakan rakyat Indonesia.,Neutral
180,❤,Neutral
181,Kami bangga punya presiden sprt beliau.....sangat tulus tegas dan berwibawa..SMG beliau sllu shat  kuat dan istiqamah....,Neutral
182,Yang benar aja jangan php kami anak tk aja tau klw gaji sertifkas Uda sejaj jaman sby,Neutral
183,"Alhamdulillah jayalah Indonesiaku, aamiin aamiin aamiin yarobbalallaamiin dan inilah pemimpin bangsa yg tulus cerdas dan berwibawa mga pak prabowo dan klg dlimpahkan rahmad allah swt, aamiin aamiin aamiin yarobbalallaamiin🤲",Neutral
184,Bagaimana dengan pegawai lain serta para pensiunan Pak..,Neutral
185,"Veteran jg di perhatikan pak
Jasa mereka jg besar untuk negara ini",Neutral
186,Terima kasih Bpk prabowo.,Neutral
187,"Terima kasih presidenku,pak Prabowo.",Neutral
188,"Seandainya saya Pak Prabowo udah Presiden dari 10 tahun Lalu. Negara kita Akan lebih Maju, Rakyat lebih sejahtera. 🥹🥹",Neutral
189,Yg tulus dengan Negeri ini adalah Pak Prabowo (GUS DUR),Neutral
190,pak prabowo mengikuti saran pak anies mantab,Neutral
191,pangkas gaji pejabat nya,Neutral
192,"Maka dr itu guru2 ngajar yg bner ,liat tuh gaji dah pada naik,guru2 skrng paling suka melakukan tindakn kekerasan ke Siswa siswi,kadng krn emng punya maslh pribadi suka lampiaskan ke murid..
Kek di sklh gua dulunya msh SMA dulu,gurunya ada yg ngajar smpe bawa2 orgtuanya murid buat trauma ajah..",Neutral
193,🙏🙏🙏,Neutral
194,"posisi aku
di pelabuhan tanjung perak
topi pindad gelang merah.",Neutral
195,Sang jendral presidenku kiranya tetap menjaga hatinya untuk tulus dan jujur memimpin negeriku tercinta.,Neutral
196,"Bukan kenaikan gaji min, tapi perbaikan kesejahteraan guru.",Neutral
197,Kenapa makan gratis ga sampai dsini,Neutral
198,ass..pak priseden probowo saya mau nanya naik gaji guru itu yang mana? apa guru honerer atau guru pppk. kami guru honorer pak presiden dari guru swasta,Neutral
199,Semoga smpai,Neutral
200,"Tolong pak.
Kepala sekolah jg di audit.
Penggunaan dana bos.",Neutral
201,"Guru d taiwan guru sd pensiunan 60r b nt ,d rupiahkn satu bulan 30 jt,  kata mjknku kalau  pensiunan guru sma dosen bisa 100rb nt ,luar biasa ,",Neutral
202,Tiap dengar pk prabowo pidato bikin netes air mata.terlihat kesungguhan keihlasan beliau...semoga sehat selalu jendral.,Neutral
203,77788,Neutral
204,Alhamdulillah km guru2 bersyukur dan berdoa pak presiden kita sell sehat dan wajib 2priode❤❤❤,Neutral
205,Luar biasa pak br kali ini km guru tersanjung❤❤❤,Neutral
206,Trims pak bowo yg menghargai km guru2❤❤❤,Neutral
207,Air mata sang jenderal 🫡,Neutral
208,saya ikut nangis pak.. saya tau bapak itu tulus banget,Neutral
209,Salam hormat pak Presiden,Neutral
210,"Kalau kenaikan pajak bisa berimbas kepada kenaikan gaji guru dan buruh, saya insyaAllah ikhlas.",Neutral
211,salut untuk presiden jokowi yang sudah mendukung bapak prabowo.,Neutral
212,"Terimakasih bapak presiden ku bapak Prabowo terimakasih sudah mensejahterakan para guru. Aku sangat terharu
Sehat selalu panjang umur bapak presiden dan wakil presiden 2024",Neutral
213,Terimakasih bapak dengan ketulusan hati untuk para pejuang anak2 bangsa,Neutral
