,Unnamed: 0,comment,sentimen
17,17,sebenarnya gaji guru pns bersertifikasi udah 2x sejak 2008 sejak era sby  sama seperti dulu  yg beda hanya honorer ditambah 2 juta  jadi kenapa harus bilang gaji guru naik 2jt  saya kecewa karna hal ini harga barang naik,Neutral
18,18,luar biasa,Neutral
19,19,terima kasih banyak bapak presiden yang baru kali ini kami sebagai guru di angkt derajatnya kamiterlebih kami yang masih honor bahwa didalam masyarakatkami direndahkan karena kami cuman guru honor sjbeda dengan pns dan p3kjujur pak kami sangat bahagia dan srmoga kami tidak di persulitkankarena kami srbagai pendidik tidak menyulitkan anak dalam kegiatan belajar mengajarterlebih kami sebagai pendidkdimana semua keadaan kami harus berusaha unutk meniru sifat tuhan yesussperti 1menyayangipanjang sabar tidak membeda kandlltuhan selalu memberkati masa jabatanmu bapak presiden  serta semuanya yang menjadi atasannya kamisyalom,Neutral
20,20,kalau sakit tidak bisa bangkit pa presiden,Neutral
21,21,saya memang bukan seorang guru tapi saya bangga sama bpk presiden prabowo niat bpk untuk membangun negri ini semoga presiden prabowo sehat selalu aamiin ya allah,Neutral
22,22,itu termasuk guru ngaji,Neutral
23,23,ekonomi tidak akan tumbuh kalo sopi lazada tidak ditutup gara2 perdagangan online yg memuat semua umkm tbang,Neutral
24,24,air mata yang keluar dari mata  seorang presiden itu bukti ketulusan dalam memperjuangkan nasib bangsa indonesia semangat yg berkobar kobar untuk berjuang untuk rakyat jelata terima kasih presiden kami yg baik dan tulus,Neutral
25,25,,Neutral
26,26,ya kita setujuh 2 priode sebagai presiden indonesia kuat maju dan sejahtera,Neutral
27,27,pak presiden prabowo subiyanto yg terhormat bpk adalah putra yg terbaik indonesi yg berjuang mengubah nasib indonesia yg lebih baik terlebih kepada guru2 di indonesia kuat maju dan sejahtera dalam buat pak presiden prabowo subiyanto yg terhormat terima kasih tuhan yesus memberkati syalom ,Neutral
28,28,gaji guru naik 2x ukt naik 4x hebat,Neutral
29,29,semoga para petani juga dpt pupuk dgn mudah,Neutral
30,30,tolong untuk penjaga yg blm pns juga  harus d perhatik,Neutral
31,31,terima kasih pak presiden doa kami sehat selalu allah jaga allah sayanghormat merdeka merdeka merdeka,Neutral
32,32,subhanallah trima kasih pak presiden ,Neutral
33,33,dikampung saya guru sudah pada bermobil pak tp ga sedikit jg yg bermotor,Neutral
34,34,nasib nakes perawat gimana pakyg jadi hl,Neutral
35,35,sepanjang liat video ini saya nangis terusma syaa allah akhirnya allah bukakan jalan,Neutral
36,36,wc sekolah harus bersih terutama di sekolah2 negeri,Neutral
37,37,tidak adil,Neutral
38,38,kok guru terus sih guru itu juga pns asn lho,Neutral
39,39,jawa tengah banyumas hadir,Neutral
40,40,untuk yang tidak tahu ini katanya naik  untuk guru ini bukan kenaikan karena memang program tunjangan profesi memang sudah ada dari awal  itu yang katanya naik gaji  yg belum pns atau ppppk hanya naik 500rb untuk yang sertifikasi  untuk guru yang belum sertifikasi atau honor sekolah dengan dana bos menangis mendengar isu kenaikan ini  ini bukan menghujat  tolong pak prabowo ditinjau lagi dan di observasi dulu ke lapangan demi mensejahterakan guru guru di tanah air tercinta ini  salam,Neutral
41,41,kapan bapak gajih orang kesehatan di naikkan kami para nakes capek kerja ship2 pan karna sehat dulu baru bisa cerdas km pengbdi negara dulu tks nggak di gajih honda jga gajih nggak seberpa di bawah satu juta skg p3k pak harus di angkat pns naikkan gajih kami para tenaga nakes medis ,Neutral
42,42,trimakasih bapak prabowo subianto persiden terpilih semoga negara jadi makmur sejahtera jendralku ,Neutral
43,43,pak presiden prabowo menangis tapi saya lebih sakit hati dan menangis bapak presiden pidato a pak menteri dan wamen pendidikan dasar dan menengah bilang lainpak saya guru agama kristen asn belum sertifikasi apakah akan diundang ikut ppgbapak yang benar mana pidato bapak ato mentri,Neutral
44,44,dengarkan wahai para guru kalian harus bener2 menjadi seorang guru yg disiplin,Neutral
45,45,hhhhhjnnnmmmmm,Neutral
46,46,pak presiden prabowo hebat kami sehat selalu pak presiden amin,Neutral
47,47,saya sangat setuju,Neutral
48,48,yg benar yg mana si ada yg ngomong gak naik ada lgi yg ngomong naiknegeri yg membingungkan,Neutral
49,49,sukurlah naik tapi guru juga harus meingkatkan cara mengajarnya hysusnya yg di kampung guru skrg banyak yg main hp main gime dlm kelas muridnya kebanyakan tdk bisa hapal pancasila apa lg hapal perkalian sampai 100 dan lainnya,Positive
50,50,pak prabowo tidak ngajak kita nangis tapi kok airmata keluar otomatis ,Neutral
51,51,terima kasih bapak presiden dan seluruh jajaran pemerintahannya semoga sekarang dan kedepannya sesuai seperti yangbapak ucapkan itu segala kebijakan dan kearsipan bapak semoga allah swt membalasnya aamiin ya allah yarobalalamiin,Neutral
52,52,bagus menaikan gajih gurutapi tolong jangan naikan ppnusaha saya warung sembako sangat terasa sekali dengan kenaikan ppn,Neutral
53,53,omon omon,Neutral
54,54,mboyak lorrkuli panggah renek mundake,Neutral
55,55,wajah indonesia dapat uang malah nangis,Neutral
56,56,pak gimana dg nasib nakes yg dinas pagisoremalamtanpa kenal waktu hujanbadai masih ditempuh pakmiris rasanya,Neutral
57,57,gak ad kenaikan gaji ,Neutral
58,58,pokoe presiden 2024 nganti 2050 tetep bapak prabowo  biso ngelindungi rakyat sak nusantara  rakyat masi di ajak perang yo nganut demi nkri harga mati wong alas tengger,Negative
59,59,ya allah,Neutral
60,60,pk bagemana nasip guru yg honor di swasta pk karena anak ku honor udah lama dari masa kuliah sampai saat ini di smp hongtuah yayasan tni di lampung apa bisa di angkat jadi guru p3k atau pns tolong pk nasip guru honor swasta,Neutral
61,61,alhamdulillah air mata saya bergenang sebagai guru walau di malaysia nilai seorang guru dihargai allahuakbar  allahuakbar  allahuakbar ,Neutral
62,62,apakah yg pensiunan jg naik,Neutral
63,63,terima kasih pak mulyono atas nama 58 warga indonesianegara indonesia begini2 saja,Neutral
64,64,benar2jah naik gaji cobalah  hitung2an,Neutral
65,65,,Neutral
66,66,semoga allah swt sllu menjaga dan melindungi pak prabowo08 dimanapun berada aamiin yra,Neutral
67,67,011,Neutral
68,68,lanjutkan pak prabowo semoga pak prabowo d berikan umur panjang dan sehat slalu oleh allah swt,Neutral
69,69,pak presiden prabowo yth trimakasih sudah menaikan gaji guru tapi harga pangan juga di naikan atau distabilkan pak trimakasih,Neutral
70,70,28 des 2024 adalah hari prank nasional  korbannya adalah guru,Neutral
71,71,semoga betol pak trimakasih,Neutral
72,72,,Neutral
73,73,the best indonesia emaspendidikann orang miskin aminnn,Positive
74,74,saya fikir yg naik semua guru ternyata hanya guru sertifikasi yg dinaikkan  apa kabar dengan honorer,Neutral
75,75,alhamdulillah bpk pemimpin bangsa kita saat ini 3 periode saya memilih bpk sekarang berhasil selamat bpk kmi semoga bpk selalu sehat dn selalu dlm perlindungan dr allah ,Neutral
76,76,barokallohulaka jazakumulloh khoiron bpk presiden ri prabowo subianto panjang umurnya sehat selalu yaa alloh aamiin yaa robbal alamiin aamiin     walau kami hanya sbg guru ngaji quran ikut berbahagia krn dulu kami pendidik smakrn persaingan kami dikeluarkan smg yg ngeluarkan kami diberi ampun sama alloh swt ,Neutral
77,77,bpk prabowo presiden yg luarbiasadua periode untk seluruh rakyt indonesiax dr papua barat dayax guru pppkterimaksh bp presidn bp prabowo subiantoslm dua periodebpk luarbiasa,Neutral
78,78,luarbiasa bpk prabowo presiden kitax dr papua barat dayabpk prabowo memng bpk yg cerdas bijaksana dn terhormat,Neutral
79,79,luarbiasa bpk presiden prabowobpk presiden yg handal terhormat santunberetika dr sglny,Neutral
80,80,pak ko gaji guru aja yng naik gaji buruh harian bagai mana kalau bisa pak bbm diturunkan juga,Neutral
81,81,jangan cakap saja pak prabowo bukti kn dulu dgn bagi naik gaji gurujgn asik berucap saja war2 yg penting nya tu bukti kn dulu naik kn gaji guru secepat nyagaji apa guru rp 2 juta sekurang2 nya guru gaji rp 8 juta hingga rp 15 jutaayuh pak prabowo bukti kn dulu jgn asik berucap saja itu semua tak pentingyg penting bukti kn dulu dgn naik kn gaji guru secepat nyajangan di tunggu lagi naik kn gaji guru secepat nya,Neutral
82,82,hentikan pembangunan desa yang gak penting lahan korupsi,Neutral
83,83,gaji guru btq dan guru ngaji di tpq juga mohon di perhatikan juga pak presiden,Neutral
84,84,padahal guru banyak gak dukung beliau saat pilpres tapi beliau balas dengan kenaikan gaji guruluar biasa bapak ini,Neutral
85,85,bapak kalau pidato selalu kenak dihati ucapannya menenangkan masyarakat ucapannya bisa dipegang dan dipertanggung jawab kan trimakasih presiden ku ,Neutral
86,86,habis gelap terbilah terang bapak prabowo  subianto bapak  peresiden ku luarbiasa merah putih betul betul  tak memiliki noda lagisemoga allah memberkahinya  selalu,Neutral
87,87,dulu alm gusdur yg manaikkan gaji guru semoga presiden ini juga barhasil,Neutral
88,88,menyala jendral menyala presidenku,Neutral
89,89,semoga bapak presiden prabowu sehat selalu amiin ,Neutral
90,90,luar biasa semoga pak prabowo  selalu amanah  sehat  panjang umur dan melalui pendidikan indonesia semakin maju di dunia internasional aamiin yra,Neutral
91,91,terimakasi bapak  presiden mohon perhatiannya saya kurang lebih 20thn guru honor umur uda pensiun tapi masi tetap  saya mengajar,Neutral
92,92,setuju,Neutral
93,93,sekalian kualitas gurunya juga ditingkatkan,Neutral
94,94,bapak presiden tolong sejahterakan nasip guru honorer dan guru swasta yang gajinya hanya 300 pe bulan,Neutral
95,95,semoga pak prabowo terus sihat memimpin indonesia maju di masa depan salam dari anak melayu malaysia buat pak prabowo presiden indonesia yang paling kuhormati ,Neutral
96,96,masha allah luar biasa hati bapak presiden kami sehat selalu bapk prabowo,Neutral
97,97,saya melayu malaysia tetap menyokong apa juga yg baik dari presiden anda untuk memajukan negara anda,Neutral
98,98,nangis karena gak ada duitnya ya,Neutral
99,99,setuju hebat presiden h prabowo subianto luar biasa luar biasa presiden ke 8,Neutral
100,100,tanpa sadar meneteskan air mata mendengarkan pidato bapak presidenkusemoga sehat terus presidenku,Neutral
101,101,sangat terharu mendengar pidato bapak prabowo niatmu sangat mulia semoga sehat terus bapak presiden dan negara kita bisa menjadi negara maju yg rakyatnya cerdas2 dan sejahteraaamiiinnnn,Neutral
102,102,siap pak presidenku saya guru honorer tdk pernah menyerah mendidik pada peserta didik demi anak  bangsa dan negara,Neutral
103,103,i love you pak,Positive
104,104,pak prabowo presiden pilihan rakyat is the best,Neutral
105,105,jangan dua periode 1 setengah periode juga ngak tau kalau banyak dubes nyagimana para guru setuju,Neutral
106,106,kenapa menangis padahal ngak ngaruh apa apa naik yang udah sertifikasi itu mah udah otomatis wslaupun presiden nya pak bolotjadi kenapa nangis kalaupun pak bolot presiden nya juga bakal naik kalau sudah sertifikasi mah omon omon doangprnsiunan ada bonus 400 ribu mana buktinya dubes atau dusta besarjangan jangandalampemerintahan juga banyak dubes nya,Neutral
107,107,guru swasta gmn pak,Neutral
108,108,kita di prank prank tingkat nasional tidak ada kenaikan gaji yang ada hanya kenaikan tunjangan ternyata yang naik itu cuma tunjangan sertifikasi guru non asn sebesar 500 ribu yang tadinya 15 juta menjadi 2 juta tunjangan sertifikasi sejak zaman sby tahun 2007 memang 1 kali gaji pokok istri saat menyimak pidato presiden sudah senang  tetangga sudah nyiyir banyak yg iri ehhternyata prank nasional,Neutral
109,109,salam santun terimakasih bapak bagus mudah dimengerti terimakasih,Neutral
110,110,iki opo maning ,Neutral
111,111,tindakan utama  prabowo dan barisannya untuk membangunkan bangsa indonesia  wajib meningkatkan kualitas pendidikan terutama infrasruktur pembangunan sekolah dan meningkatkan  gaji guru  disamping itu tingkatkan pembangunan terutamanya jalanraya,Neutral
112,112,sehat selalu bpk bpk berjuang untuk rakyat,Neutral
113,113,sehat selalu pak presiden,Neutral
114,114,siap jendral,Neutral
115,115,gajih guru harus di setandarkan untuk seluruh indonesia minimal paling kecil 3jt entah itu honor tau guru tetap  karna banyak guru2 gajih 500 rb atau 1jt  ,Negative
116,116,tahun 2025 kira kira buln brp nanti di sdh bisa nerima tunjangan honorer,Neutral
117,117,balu kli ini punya presiden mau mecat org yg mlakuin kesalahanhan aja harus nanyak dulu sma majikn yg mngkn diaapakh mjikn nya yg jdi presiden ato dirinya pk wwosmpe sgitu nya mau nanyak dulu sma atasan,Neutral
118,118,trimahkasih pak presidenku bapak prabowo subiantoterharu saya mendengar pidatomu pak presiden,Neutral
119,119,,Neutral
120,120,omong kosong baru satu bulan kerja mana mungkin  bisa naikkan gaji segitu banuak  koruptor diberantas dulu pak,Neutral
121,121,semoga amanah selalu ya bapak presidenterus pantau guru2 di indonesia,Neutral
122,122,panjang umur ya bapaksemoga bangsa indonesia ini bangkit dan maju di bawah pimpinan bapak jendral prabowo subianto hidup presidenku,Neutral
123,123,terimakasih bpk presiden,Neutral
124,124,tidak menangiskah bapak presiden prabowo kpd para pensiunan dg gaji yg masih rendah,Neutral
125,125,bapak presiden ri yang terbaik yang tidak guru guru tidak akan melupakan salam 2 periode dukungan penuh mau tidak mau hanya kita punya yang bapak prabowo,Neutral
126,126,bahasa nya masih ambigu bagi saya,Neutral
127,127,nonton ini sambil sarapan lah mewek sambil sarapan sampek nasi gak ketelen,Neutral
128,128,tuhan yesus memberkati ,Neutral
129,129,tdk bisa berkata katauntuk pak presiden prabowosemoga allah senantiasa melindungi beliauslalu diberikan kesehatan jasmani maupun rohani,Neutral
130,130,pak prabowo cyman salah wakil aja,Neutral
131,131,terima kasih bapa presiden republik indonesiasegala usahamu untuk rakyat indonesia diberkati oleh tuhan yang maha esa,Neutral
132,132,hebat pilihan ku bpk perabowo subiantoguru adalah segalayah tanpa guru kita bukan apasemoga bahan poko d indo menjadi turun biar rakyat makmuraamiin,Neutral
133,133,jgn pegawai negeri aja yg di perhatikan perhatikan juga pegawai swasta yg tidak ada pensiunan yg kaya makin kaya yg miskin makin belangsak perhatikan pak untuk buruh swasta biar bisa hidup makin layak seperti orang orang yg pekerja punya pensiunan dan jamsostek kami rakyat kecil banyak terima kasih bila bapak merespon untuk rakyat kecil seperti kami tempat tinggal aja kami masih sewa dengan pemda telat brp hari sudah dapat teguran maaf jadi curhat,Neutral
134,134,gaji guru tpq juga di perhatikan paksaat ini gaji guru tpq di mojokerto  hanya 70 ribu 1 bulan,Neutral
135,135,masya allahsungguh pengabdian bapak presiden sungguh luar biasasehat selalu bapak presidenku yang terhormat bapak hprabowo subiantosemoga panjang umur dan sehat selaluaamiinpresiden terbaik,Neutral
136,136,guru suka memeras murid jadi aku kurang dengan guru,Neutral
137,137,kurang suka aku lebih baik bapak naikkan gaji pekerja kebon di kebon pt,Neutral
138,138,sya yg tdk mmliki kluarga gurusy sangat bangga dg kenaikan gaji initerimakasih pak prabowo,Neutral
139,139,yoy are the best bapak prabowo utk indonesia hebat adalah bermula dri guru indonesia maju,Positive
140,140,jangan guru aja yg di pikirkan pakwkwkkwkwbanyak tuh satpol pp dan trntib ny msih butuh perhatian lebihmakasih,Neutral
141,141,jangan sampai bohong lho pakdidepanmu juga banyak orang tua karena diluaran sana katanya asn tidak naikyang naik honorer menjadi 2jutakemarin 15oonaik 500trus asn tidak naikkkjangan buat kecewa banyak orang pak,Neutral
142,142,mengapa pak presiden menangis sementara gaji guru tidak naik seperti dulu cuma untuk honorer saja naik 500 ribu nampak sudah galau semuanya,Neutral
143,143,merdekaaaa indonesiakuu dalam segala bidang dan aspek bismillah menyala presidenku,Neutral
144,144,kalo dinegri dinasty wakanda got gorong2 amsyooong naikkan gaji pejabad2 pegawai2 negri wakanda  gampaaang kan yg bayar juga rakyat2 kecil yg makin terbebani pajak selangit ekonomi syulit  hutang melejit  fakir menjerit wakanda wakanda amsyooong,Neutral
145,145,semangat terus buat bapak presiden atau wakil presiden dan guru guru seindonesia  pentingnya ada dukungan dari masyarakat dan sekitarnya agar tetap damai untuk bangsa dan negara nya,Neutral
146,146,kami guru indonesia terutama di sd negeri  sewaktu masih honor belasan tahun gajih honornya hanya 250000 per bulan tapi kami tetap mengajar dan berdoa semoga ada perubahan penghasilantetapi tetap setia mengajar dengan semangat,Neutral
147,147,tlong bantu yg masih honoril masih blm di angkat pak,Neutral
148,148,pak smoga pesantren jg  bs d buat jd pmbyran mudah terjangkau untuk anak kami2 ini di kalangan ekonomi menegah ke bawah,Neutral
149,149,siap mendukung pembrantasan korupsi,Neutral
150,150,nasib guru yg sdh pensiunan bgmn pak apa ada perhatian juga yg sdh mengabdi puluhan tahun,Neutral
151,151,tetap semangat bapak presiden dan pak gibran moga tetap semangat jadi pemimpin negara indonesia ya bapak karna pak prabowo dan pak gibran engak akan terganti,Neutral
152,152,gaji guru naek rakyat biasa cuma dapat naek pajak aja,Neutral
153,153,saya sudah mendirikan tk  bunda ramina di kelurah kedabang kecamatan sintang kabupaten sintang provinsi kalimantan barat  tujuan saya menyiapkan generasi emas sejak usia dini sy bekerja di kelurahan kedabang semoga pk presiden mendukung sy dlm hal ini,Neutral
154,154,bersih itu indah,Neutral
155,155,terimakasih sy pendukung pk prabowo dari awal kegagal capres hingga jadi presiden,Neutral
156,156,mantap pk presiden kita,Neutral
157,157,,Neutral
158,158,bagaimana pk nasib pensiun,Neutral
159,159,bagi yang sudah sertifikasi sudah lama apanya yang baru,Neutral
160,160,kalau cuma sertifikasi itu sudah program lama pk,Neutral
161,161,,Neutral
162,162,alhamdulillah akhirnya ada perhatian dari pemerintah tentang dunia pendidikan setelah selama 10 tahun terpuruk anakanak sekolah smp banyak yg tidak bisa membaca akhlak anakanak rusak sungguh 10 tahun yg miris dunia pendidikan,Neutral
163,163,alhamdulillah sangat bersyukur indonesia  benar2 memiliki sosok seorang pemimpin sejatiselalu menangis ketika mendengrkan pidato pak prabowo,Neutral
164,164,tolong untuk guru honorer lebih diperhatikan pak,Neutral
165,165,masya allah ,Neutral
166,166,mudah2an bapak presiden juga memikirkan nasib para pensiunan guru juga dinaikkan gajinya aamiin,Neutral
167,167,mhon perhatianya bpkkami mengabdi 31 thtdak s1 tidak sertitugas dan beban kami sama paak,Neutral
168,168,semoga pak prabowo sehat dan berkah karena menghargai guru  dan  prabowo selalu sukses serta pola fikir maju seperti jepang yang menghargai guru,Neutral
169,169,banga kaya alam sekitar tapi tak tahu urusin yang diurusin bagimana erkaya keluarga dan koroni,Neutral
170,170,get well soon ina ,Neutral
171,171,79tahun merdaka tapi rakyat dan negara makin susah sama aja dizama colonial malah lebeh susah,Neutral
172,172,assalamualaikum pak prabowo subianto yg terhormatsayang mu kepala rakyat indonesia cuma 65 persen kepada rakyat kecil,Neutral
173,173,pak pers prabowo jadi artis indobesia menangis waktu pidato guru naik gaji apa benaran ni sejarah tunjok sebalik nya,Neutral
174,174,presidente ri pak prabowo luar biasa bisa pimpin indonesia jadi negara maju dan bebas korupsi presidente yg sangat peduli rakyatnya,Neutral
175,175,petani bagaimana kami jg sdh sangat lama ingin merasakan hasil pertanian kami demi kesejahteraan keluarga kmi,Neutral
176,176,rakyak bagaimana,Neutral
177,177,guru beli mobil baru buruh bayar pajak 12 sekolah makin mahal biaya hidup makin melambung mantafff merdekaaaa,Neutral
178,178,gila sih bpk satu ini baru menjabat sebentar gebrakannya udh banyak baget yaalla semoga beliau di beri umur panjang agar bisa memimpin indonesia 2 periode ,Neutral
179,179,ya allah sehatkan beliau dan berilah kesempatan kpd prabowo utk menerus kan cita beliau memajukan dan mensejahterakan rakyat indonesia,Neutral
180,180,,Neutral
181,181,kami bangga punya presiden sprt beliausangat tulus tegas dan berwibawasmg beliau sllu shat  kuat dan istiqamah,Neutral
182,182,yang benar aja jangan php kami anak tk aja tau klw gaji sertifkas uda sejaj jaman sby,Neutral
183,183,alhamdulillah jayalah indonesiaku aamiin aamiin aamiin yarobbalallaamiin dan inilah pemimpin bangsa yg tulus cerdas dan berwibawa mga pak prabowo dan klg dlimpahkan rahmad allah swt aamiin aamiin aamiin yarobbalallaamiin,Neutral
184,184,bagaimana dengan pegawai lain serta para pensiunan pak,Neutral
185,185,veteran jg di perhatikan pakjasa mereka jg besar untuk negara ini,Neutral
186,186,terima kasih bpk prabowo,Neutral
187,187,terima kasih presidenkupak prabowo,Neutral
188,188,seandainya saya pak prabowo udah presiden dari 10 tahun lalu negara kita akan lebih maju rakyat lebih sejahtera ,Neutral
189,189,yg tulus dengan negeri ini adalah pak prabowo gus dur,Neutral
190,190,pak prabowo mengikuti saran pak anies mantab,Neutral
191,191,pangkas gaji pejabat nya,Neutral
192,192,maka dr itu guru2 ngajar yg bner liat tuh gaji dah pada naikguru2 skrng paling suka melakukan tindakn kekerasan ke siswa siswikadng krn emng punya maslh pribadi suka lampiaskan ke muridkek di sklh gua dulunya msh sma dulugurunya ada yg ngajar smpe bawa2 orgtuanya murid buat trauma ajah,Neutral
193,193,,Neutral
194,194,posisi akudi pelabuhan tanjung peraktopi pindad gelang merah,Neutral
195,195,sang jendral presidenku kiranya tetap menjaga hatinya untuk tulus dan jujur memimpin negeriku tercinta,Neutral
196,196,bukan kenaikan gaji min tapi perbaikan kesejahteraan guru,Neutral
197,197,kenapa makan gratis ga sampai dsini,Neutral
198,198,asspak priseden probowo saya mau nanya naik gaji guru itu yang mana apa guru honerer atau guru pppk kami guru honorer pak presiden dari guru swasta,Neutral
199,199,semoga smpai,Neutral
200,200,tolong pakkepala sekolah jg di auditpenggunaan dana bos,Neutral
201,201,guru d taiwan guru sd pensiunan 60r b nt d rupiahkn satu bulan 30 jt  kata mjknku kalau  pensiunan guru sma dosen bisa 100rb nt luar biasa ,Neutral
202,202,tiap dengar pk prabowo pidato bikin netes air mataterlihat kesungguhan keihlasan beliausemoga sehat selalu jendral,Neutral
203,203,77788,Neutral
204,204,alhamdulillah km guru2 bersyukur dan berdoa pak presiden kita sell sehat dan wajib 2priode,Neutral
205,205,luar biasa pak br kali ini km guru tersanjung,Neutral
206,206,trims pak bowo yg menghargai km guru2,Neutral
207,207,air mata sang jenderal ,Neutral
208,208,saya ikut nangis pak saya tau bapak itu tulus banget,Neutral
209,209,salam hormat pak presiden,Neutral
210,210,kalau kenaikan pajak bisa berimbas kepada kenaikan gaji guru dan buruh saya insyaallah ikhlas,Neutral
211,211,salut untuk presiden jokowi yang sudah mendukung bapak prabowo,Neutral
212,212,terimakasih bapak presiden ku bapak prabowo terimakasih sudah mensejahterakan para guru aku sangat terharusehat selalu panjang umur bapak presiden dan wakil presiden 2024,Neutral
213,213,terimakasih bapak dengan ketulusan hati untuk para pejuang anak2 bangsa,Neutral
214,214,masya allah pak sungguh mulia hatimu bantu trz rakyatmu pak sehat selalu pak prabowo we love u ,Positive
215,215,sa smdehat bustbzbapak presiden tolong ingat ya pak bagi yg pensiunyg dapat uang pensiun kecil brafo pak,Neutral
216,216,terima kasih pak presiden ripak prabowo subianto tidak salah rakyat indonesia mengangkat bpk menjadi pemimpin bangsa indonesiabpk prabowo subianto adalah yg terbaikkami rakyat indonesia terkhusus kami sebagai guru selalu mendoakan yg terbaik utk bpk supaya bpk bisa duduk dua putaran ammiiinn ,Neutral
217,217,trimakasih banyak pak presiden prabowo sangat baik presiden kita di beri kesehatan lanjut periode 2,Neutral
218,218,ini maksudnya tambahan kesejahteraan di luar tunjangan sertifikasijika ini maksudnya adlah tunjagn sertfikasi 1x gaji pokok ya sama saja dg yg dulu gak ada tambahan apa apa dong utk guru asn,Neutral
219,219,jangan hanya pegawai negeri dong yg selalu naik gaji kita sebagai masyarakat juga butuh kesejahteraan kami sebagai rakyat kecil juga butuh biaya menyekolahkan putra putri kamicoba carikan kami solusi dong,Neutral
220,220,setelah pendidikan kesehatan pakaamiin,Neutral
221,221,kelas,Neutral
222,222,luar biasa bpk presiden indonesiapresiden indonesia seumur hidup,Neutral
223,223,bp prabowo ,Neutral
224,224,bapak bangsa yang sebenarnya,Neutral
225,225,bapak bangsa,Neutral
226,226,terimakasih bpk presiden prabowo subianto,Neutral
227,227,intinya makin diberantas yg korupsi makin tinggi gajih kita karna si para korup ini yg bikin indo mandek,Neutral
228,228,langkah paling efektif menghilangkan cawecawe sebenarnya yaitu pemilu legislatif dpr dprd dan dpd di dahulukan kemudian setelah dilantik dpr dprd dan dpd baru dilaksanakan pilpres pilkada,Neutral
229,229,banyak guru kurang ajarapa mau dibanggakan,Neutral
230,230,masyarakat miskin bagaimana apakah ada haknya,Neutral
231,231,trimaksih pak prsbowoaku trharu dgn kebijakan pak prabowo,Neutral
232,232,masya allahsungguh sangat luar biasabegitu cerdastegas dn pantastabarakallahsehat sllu bpk presiden kamisllu dlm lindungan allaj swtaamiin yra,Neutral
233,233,mantap bapak presiden kita,Neutral
234,234,semangat pak prabowo untuk membangun indonesia melalui pendidikan tolong ruangan kelas harus berac biar anak anak bisa konsentrasi dalem belajar,Neutral
235,235,setuju bangat pak prabowo sehat selalu pak prabowo amiin,Neutral
236,236,itu guru2 yg ga nyoblos sambil babibuin prabowo waktu itu ngambil juga malu ga,Neutral
237,237,masyaallahdari dulu sy mengidolahkan bapak prabowopersiden luar biasatrima kasih pak presiden,Neutral
238,238,alhamdulillahsemoga di ijabah dan amanah terimakasih bpk peesiden ku presiden kita rakyat indonesia sehat selalu dan panjang umur pak presiden,Neutral
