comm_date,author,author_id,likes,comment,sentimen,video_id
2024-12-04T04:17:02Z,@martapaini2401,UC1SiX0Te2etP41XITJM4ffg,0,Harus itu pak krn masak sekolah bertahun thn yrs jadi guru yg masih honor kok gaji 400,Neutral,IlfOrVlcVHA
2024-12-04T02:34:13Z,@SiapaAku-r6o,UCNqgTCBYBM-nhL7_b9-ahwA,0,Semuanya boong dari dulu meman sudah dibayar sebulan gaji pokok jong semuanya pns guru tidak bodoh dan jangan dibodoh bodohi,Neutral,IlfOrVlcVHA
2024-12-04T02:16:12Z,@AminA-ht1po,UC9AM2IBMvmFmV1qavSWY1UA,0,"Kalau benar"" Semua guru gajih nya di naik kan pasti setuju Pak..jangan di bulli..100% untuk guru ASN 2000,000 untuk non AsN..kita dukung dan sangat setuju..sudah saat nya guru di perhatikan bukan di bulli..sejak bu sri di angkat jadi mentri pak joko wi guru hanya di jadi kan kambing hitam..kata nya ad tunjangan ini itu uang makan apalah nyata guru SMP guru S,d di daerah hanya gigit jari tak berdaya untuk melawan pemveritaan yg kowar"" tentang guru naik gajih lah guru trima uang makan lah tp O,kalau pak prabowo benar"" Naik kan gajih guru ONS 100% dan guru honorer 2000,000 ini Baru Presiden yg hebat dan menjujung tinggi akan ada nya    keperdulian pahlawan ilmu di indonesua..semoga bener"" gajih guru Naik",Neutral,IlfOrVlcVHA
2024-12-04T01:51:22Z,@firdosfams5820,UCEsEtPRx6y06W51A1nTuHpg,0,nangis tapi naikin pajak 12 persen hahai lucu,Neutral,IlfOrVlcVHA
2024-12-04T01:32:24Z,@AminA-ht1po,UC9AM2IBMvmFmV1qavSWY1UA,0,"Pak Prabowo pemerintah bisa gajih DPR ratusan juta..tp kalau gajih guru buat hidup 1 bulan aja kalau tdk punya sampingan sangat sulit..gaji guru perbulan paling tdk 10,000,000 pak baru presiden
 yg benar"" perduli dgn Nasib pahlawan bangsa..kalau pak Prabowo benar"" Menaik kan gajih guru 100% kita akan menjuluk i Pak Prabowo adalah Presiden yg  pahlawan guru",Neutral,IlfOrVlcVHA
2024-12-04T01:26:37Z,@yulirodliah-hc8xo,UCKrX5vCbhz-w9ssrAxPyCIQ,0,"Alhamdulilah semoga benar adanya, sehat selalu untuk para pemimpin , Guru sejahtera bangsa Indonesia jaya, aamiin",Neutral,IlfOrVlcVHA
2024-12-04T00:59:35Z,@riozamora,UCVnrfUYX82TKJ-3Wa8t74GA,0,Bravo Mr Presiden . Luar Biasa tangan mu untuk pengabdian kepada rakyat. Sang jendral yang sangat bijaksana. sehat selalu pak Prabowo. Luar Biasa...,Neutral,IlfOrVlcVHA
2024-12-04T00:12:27Z,@Suyatno-kf8se,UC2J25w9__yWPaAWC_CBVt2Q,0,Sebenarnya gaji guru pns bersertifikasi udah 2x sejak 2008 sejak era. SBY.  Sama seperti dulu.  Yg beda hanya honorer ditambah 2 juta.  Jadi kenapa harus bilang gaji guru naik 2jt?  Saya kecewa karna hal ini harga barang naik.,Neutral,IlfOrVlcVHA
2024-12-03T23:48:57Z,@marianakaiba9716,UCyH34n-Umt7RugPGOy-iUPw,0,Luar biasa❤,Neutral,IlfOrVlcVHA
2024-12-03T21:44:31Z,@KartiniJeraHudang,UCuOVl-9K0QkGubaeZ6wDLKQ,0,"Terima kasih banyak bapak presiden yang baru kali ini kami sebagai guru di angkt derajatnya kami,,,terlebih kami yang masih honor,, bahwa didalam masyarakat,,kami direndahkan ,karena kami cuman guru honor sj,,beda dengan PNS dan p3k,,,jujur pak kami sangat bahagia dan srmoga kami tidak di persulitkan,,karena kami srbagai pendidik tidak menyulitkan anak dalam kegiatan belajar mengajar,,terlebih kami sebagai pendidk,,,,dimana semua keadaan kami harus berusaha unutk meniru sifat Tuhan Yesus,,,sperti: 1.menyayangi,panjang sabar ,tidak membeda"" kan,,dll.Tuhan selalu memberkati masa jabatanmu bapak presiden  serta semuanya yang menjadi atasannya kami,,,syalom.🙏❤️",Neutral,IlfOrVlcVHA
2024-12-03T20:50:04Z,@abdmajidwarwefubun4680,UCQAyBnZ1NBDAx9hx0c6q_tA,0,Kalau sakit tidak bisa bangkit pa presiden,Neutral,IlfOrVlcVHA
2024-12-03T20:00:21Z,@KaysanKurnia,UCwWQZ2efauCrznCbZcc-IZg,1,"Saya memang bukan seorang guru, tapi saya bangga sama Bpk presiden prabowo, niat Bpk untuk membangun negri ini. Semoga Presiden prabowo sehat selalu. Aamiin ya Allah.",Neutral,IlfOrVlcVHA
2024-12-03T17:57:31Z,@shaqilarh,UCtVSPbwKkcW9sm3lTTWPqyg,0,Itu termasuk guru ngaji,Neutral,IlfOrVlcVHA
2024-12-03T17:15:44Z,@lanuinget6528,UCgFo_flEqnYmy7V9XAi2DPQ,0,Ekonomi tidak akan tumbuh kalo sopi lazada tidak ditutup gara2 perdagangan online yg memuat semua UMKM tbang,Neutral,IlfOrVlcVHA
2024-12-03T17:04:32Z,@TuttuniLaibok,UCUtNBg7FBClZvFm20dsKOqQ,1,Air mata yang keluar dari mata  seorang presiden itu bukti ketulusan dalam memperjuangkan nasib bangsa indonesia semangat yg berkobar kobar untuk berjuang untuk rakyat jelata terima kasih presiden kami yg baik dan tulus✊✊✊,Neutral,IlfOrVlcVHA
2024-12-03T16:57:29Z,@TuttuniLaibok,UCUtNBg7FBClZvFm20dsKOqQ,0,👍,Neutral,IlfOrVlcVHA
2024-12-03T16:56:26Z,@TuttuniLaibok,UCUtNBg7FBClZvFm20dsKOqQ,0,Ya kita setujuh 2 priode sebagai presiden Indonesia Kuat Maju dan sejahtera,Neutral,IlfOrVlcVHA
2024-12-03T16:54:19Z,@TuttuniLaibok,UCUtNBg7FBClZvFm20dsKOqQ,0,"Pak presiden Prabowo Subiyanto yg terhormat Bpk adalah putra yg terbaik Indonesi yg berjuang mengubah nasib Indonesia yg lebih baik terlebih kepada guru2 di Indonesia Kuat, Maju dan sejahtera dalam buat pak presiden Prabowo Subiyanto yg terhormat terima kasih Tuhan Yesus memberkati syalom 🙏🙏🙏✊✊✊",Neutral,IlfOrVlcVHA
2024-12-03T16:37:56Z,@indahcelluler9984,UC9GM4E_LNGi9-XxI1tuaPzw,0,"Gaji guru naik 2x, ukt naik 4x. Hebat",Neutral,IlfOrVlcVHA
2024-12-03T16:30:40Z,@Manggala212,UC5Uq0XW3HJS0vRPe9mrn9tg,0,Semoga para petani juga dpt pupuk dgn mudah,Neutral,IlfOrVlcVHA
2024-12-03T15:45:17Z,@gempelsawer9062,UCzt2mksSE1PphYaPvB7tp5A,0,Tolong Untuk penjaga yg blm pns juga  harus d perhatik🙏,Neutral,IlfOrVlcVHA
2024-12-03T15:42:45Z,@asinifatceyachini4552,UC16KrytUYaxtwLn96UGRaXA,1,"Terima kasih Pak Presiden. 
Doa kami sehat selalu. 
Allah Jaga Allah Sayang
Hormat. 
Merdeka, merdeka, merdeka🇮🇩🇮🇩🇮🇩",Neutral,IlfOrVlcVHA
2024-12-03T14:17:03Z,@KhaerulMbera,UCWxug2-buGaD8Wl7Qu9H-YQ,2,Subhanallah trima kasih pak presiden ❤❤❤,Neutral,IlfOrVlcVHA
2024-12-03T14:16:40Z,@rschannel3098,UCJXpGugwAwU8OwbFMD7ZqUA,0,"Dikampung saya guru sudah pada bermobil pak, tp ga sedikit jg yg bermotor...",Neutral,IlfOrVlcVHA
2024-12-03T14:11:38Z,@HermanSyah-qb7tw,UCYC_VkmvqWW5Ifm2MLhKrOw,0,Nasib nakes perawat gimana pak..yg jadi HL..,Neutral,IlfOrVlcVHA
2024-12-03T14:02:14Z,@NadaafifahPAUD,UCEw_yzN3KzY6i25TX1Qifuw,0,"Sepanjang liat video ini saya nangis terus😊ma Syaa Allah, akhirnya.. Allah bukakan jalan",Neutral,IlfOrVlcVHA
2024-12-03T13:47:39Z,@GANDIYANTRISEVANTINAPURBA,UCjrBVCHPSsroQH4_TD2luKw,0,"WC sekolah harus bersih, terutama di sekolah2 negeri.",Neutral,IlfOrVlcVHA
2024-12-03T13:42:52Z,@Khanafi-u4m,UCEsC6LXVgIkeoJ0wapH8I0w,0,Tidak adil,Neutral,IlfOrVlcVHA
2024-12-03T13:17:05Z,@AbdulWahid-kp8fp,UCu6YWyof76gNE8vwHMmxC8w,0,"Kok guru terus sih, guru itu juga pns/ asn lho",Neutral,IlfOrVlcVHA
2024-12-03T12:40:45Z,@InayOkta,UCmVmlUVhl2dxqlgH9Yabsfw,0,Jawa tengah Banyumas hadir,Neutral,IlfOrVlcVHA
2024-12-03T12:39:04Z,@modifiklasssik3207,UCoIOW5xvG5lwcaqpSOM2qDg,0,"Untuk yang tidak tahu ini katanya naik , untuk guru, ini bukan kenaikan karena memang program tunjangan profesi memang sudah ada dari awal , itu yang katanya naik gaji , yg belum pns atau ppppk hanya naik 500rb untuk yang sertifikasi , Untuk Guru yang belum sertifikasi atau honor sekolah dengan dana bos Menangis mendengar Isu kenaikan ini , Ini bukan menghujat , tolong pak prabowo ditinjau lagi dan di observasi dulu ke lapangan demi mensejahterakan guru guru di tanah air tercinta ini , salam",Neutral,IlfOrVlcVHA
2024-12-03T12:13:21Z,@ikazarika3316,UC2xO-1bSBNqX_mYshcn7PRA,0,"Kapan bapak gajih orang kesehatan di naikkan kami para nakes capek kerja ship2 pan, karna sehat dulu baru bisa cerdas, km pengbdi negara dulu tks nggak di gajih, honda jga gajih nggak seberpa di bawah satu juta, skg p3k pak harus di angkat pns, naikkan gajih kami para tenaga nakes medis 🙏",Neutral,IlfOrVlcVHA
2024-12-03T12:06:19Z,@mbahsri3365,UCfGdhpOgaW6Bk55p8Cgd3gw,1,Trimakasih bapak Prabowo Subianto persiden terpilih semoga negara jadi makmur sejahtera jendralku 👍🏻👍🏻💯💯🇮🇩🇮🇩🇮🇩,Neutral,IlfOrVlcVHA
2024-12-03T11:54:01Z,@sanggulachannel9459,UCydHUA-xOahSvwBCH2oP7Ww,0,Pak presiden Prabowo menangis tapi saya lebih sakit hati dan menangis bapak presiden pidato A pak menteri dan Wamen pendidikan dasar dan menengah bilang lain...pak saya guru agama kristen ASN belum sertifikasi apakah akan diundang ikut PPG...bapak yang benar mana pidato bapak ato Mentri,Neutral,IlfOrVlcVHA
2024-12-03T11:47:27Z,@pram275,UCzZkBBRHVaYbvtLZ92cgZJw,0,"Dengarkan wahai para guru, kalian harus bener2 menjadi seorang guru yg disiplin..",Neutral,IlfOrVlcVHA
2024-12-03T11:03:54Z,@fitriisnarwati2809,UCq8tgfYXLMycBxh4UbidnOw,0,Hhhhhjnnnmmmmm,Neutral,IlfOrVlcVHA
2024-12-03T11:00:37Z,@ombosku6783,UCHA8b8o18fPHPOhLIAGdxyw,0,Pak presiden prabowo hebat kami... Sehat selalu pak presiden.. Amin,Neutral,IlfOrVlcVHA
2024-12-03T10:48:01Z,@KudusSemarang,UCrAjsvNX5ogRPxdrBKw2-RA,0,Saya sangat setuju,Neutral,IlfOrVlcVHA
2024-12-03T09:55:23Z,@Run0483,UC3qAHittxZ4MjZW_k2ehGVg,0,"Yg benar yg mana si. Ada yg ngomong gak naik, ada lgi yg ngomong naik...Negeri yg membingungkan😂😂😂😂",Neutral,IlfOrVlcVHA
2024-12-03T09:29:38Z,@mariamariam1855,UCtncBBDzCIy8eyjQP_Hfv9g,0,Sukurlah naik tapi guru juga harus meñingkatkan cara mengajarnya hysusnya yg di kampung² guru skrg banyak yg main hp main gime dlm kelas. muridnya kebanyakan tdk bisa hapal pancasila apa lg hapal perkalian sampai 100 dan lain²nya,Positive,IlfOrVlcVHA
2024-12-03T09:23:19Z,@kurniawan4202,UCYKhFTVAxMDADtrgKB5P6IA,1,"Pak Prabowo tidak ngajak kita nangis, tapi kok airmata keluar otomatis 🙂‍↕️",Neutral,IlfOrVlcVHA
2024-12-03T09:22:17Z,@AnwarWar-jy6yo,UCjUSA-D-pRRwXykLv7t-ZhA,0,Terima kasih Bapak Presiden dan seluruh jajaran pemerintahannya semoga sekarang dan kedepannya sesuai seperti yang.bapak ucapkan itu segala kebijakan dan kearsipan bapak semoga Allah SWT membalasnya Aamiin Ya Allah Yarobalalamiin,Neutral,IlfOrVlcVHA
2024-12-03T09:05:12Z,@dederusni8624,UCSpBVu42b570vClVkxg4kcw,2,"Bagus menaikan gajih guru..TAPI TOLONG JANGAN NAIKAN PPN..usaha saya warung sembako ,sangat terasa sekali dengan kenaikan PPN",Neutral,IlfOrVlcVHA
2024-12-03T08:41:31Z,@nemblempon3137,UCRJMdoE0hWVrQVwZ7LAYSQA,0,Omon omon,Neutral,IlfOrVlcVHA
2024-12-03T07:47:39Z,@harimulya2773,UCyxwJYj15hOYWM24xMO7Dcg,0,Mboyak lorr...kuli panggah renek mundake,Neutral,IlfOrVlcVHA
2024-12-03T07:38:37Z,@shiome9709,UCdBVQ8OVBvamFKOiA_YKL6A,0,Wajah indonesia dapat uang malah nangis😂,Neutral,IlfOrVlcVHA
2024-12-03T06:38:01Z,@yetisumiati2131,UCOaTs6CJFgJWIgfsONUKZEA,0,"pak gimana dg nasib nakes yg dinas pagi,sore,malam,tanpa kenal waktu hujan,badai masih ditempuh pak....miris rasanya....",Neutral,IlfOrVlcVHA
2024-12-03T06:08:21Z,@michellm6459,UCfN7sWVvDfscvy0kOsoAbfg,0,Gak ad kenaikan gaji 😂.,Neutral,IlfOrVlcVHA
2024-12-03T04:45:38Z,@pakmebel5604,UC7HTaygTvJNqsJjNsMgucAA,0,"POKO,E PRESIDEN 2024 NGANTI 2050, TETEP BAPAK PRABOWO , BISO NGELINDUNGI RAKYAT SAK NUSANTARA , RAKYAT MASI DI AJAK PERANG YO NGANUT DEMI NKRI HARGA MATI .
(WONG ALAS TENGGER)",Negative,IlfOrVlcVHA
2024-12-03T04:41:24Z,@sarnahsyamsiah3647,UCp65GJMsIfZn5n3eCqIKg0w,0,Ya Allah.....❤❤❤❤,Neutral,IlfOrVlcVHA
2024-12-03T04:25:42Z,@SawoJajajar-v1h,UCj4rQB7EwZ6L7dvi0Gtg30A,0,PK bagemana nasip guru yg honor di swasta PK karena anak ku honor udah lama dari masa kuliah sampai saat ini di SMP hongtuah yayasan TNI di Lampung apa bisa di angkat jadi guru p3k atau PNS tolong PK nasip guru honor swasta,Neutral,IlfOrVlcVHA
2024-12-03T04:21:41Z,@JamianHarun-fi2lq,UCTdC6CMliMffJwNgJAMstUQ,1,"Alhamdulillah, air mata saya bergenang sebagai guru walau di Malaysia. Nilai seorang guru dihargai. Allahuakbar ! Allahuakbar ! Allahuakbar !",Neutral,IlfOrVlcVHA
2024-12-03T04:21:04Z,@istiyahalmashud6620,UCoXshUbGuoNbcnHCR6TNesw,0,apakah yg pensiunan jg naik,Neutral,IlfOrVlcVHA
2024-12-03T03:58:35Z,@haerumansutisna,UCLqAMl4xBvw1LB1kVRMCZxg,0,"Terima kasih pak Mulyono atas nama 58,% warga Indonesia,,negara Indonesia begini-2 saja😅😅😅😅",Neutral,IlfOrVlcVHA
2024-12-03T03:31:53Z,@RobiYan-jw8eg,UCroCxxyZvkteA0iG365NUgw,0,benar2jah naik gaji..?? ..cobalah  hitung2an,Neutral,IlfOrVlcVHA
2024-12-03T03:02:24Z,@SehanHaniv,UCsWH2HmtDFHEOfcYUiskFGg,0,🥰🥰💪💪👍,Neutral,IlfOrVlcVHA
2024-12-03T02:51:21Z,@IndraGalau,UCQuqUIqiV4VFinC5D6bEdrg,0,"Semoga Allah SWT sllu menjaga dan melindungi pak Prabowo08 dimanapun berada, Aamiin YRA...",Neutral,IlfOrVlcVHA
2024-12-03T02:37:16Z,@husnahusin1575,UCAgB0zthSo3wViXEOaITZhQ,0,0:11,Neutral,IlfOrVlcVHA
2024-12-03T02:33:40Z,@YusmalindaIma,UC7LTCRVaDa3YJb8XeTEG8DA,0,"Lanjutkan pak Prabowo. Semoga pak Prabowo d berikan umur panjang dan sehat slalu, oleh ALLAH SWT.",Neutral,IlfOrVlcVHA
2024-12-03T02:31:54Z,@ArifharasArif,UCP37m328uXdAHLEzctP-l9A,0,Pak presiden Prabowo Yth trimakasih sudah menaikan gaji Guru tapi harga pangan juga di naikan atau distabilkan pak trimakasih,Neutral,IlfOrVlcVHA
2024-12-03T02:26:39Z,@iwayanarse4414,UC5dHYCJ3qDjEDbOkkTbzBGQ,0,28 Des. 2024 adalah Hari Prank Nasional  korbannya adalah guru,Neutral,IlfOrVlcVHA
2024-12-03T01:41:44Z,@selycradio6327,UCIyBel2GGR3xNgm0FtcBXnw,0,Semoga betol pak trimakasih,Neutral,IlfOrVlcVHA
2024-12-03T01:34:05Z,@chlavifizir597,UC-E7BGOmVdCiq9LkdxqLa4g,0,❤❤❤,Neutral,IlfOrVlcVHA
2024-12-03T01:01:21Z,@sulasmipali7339,UCsyEZh80nW5ZfIJsqWXXaCQ,1,"The best Indonesia emas
Pendidikan
N orang miskin Aminnn",Positive,IlfOrVlcVHA
2024-12-03T01:01:11Z,@Atya1717,UCjE5UPlJCHtyK6388B3DQDQ,1,Saya fikir yg naik semua guru ternyata hanya guru sertifikasi yg dinaikkan 🤣🤣🤣🤣 apa kabar dengan honorer?,Neutral,IlfOrVlcVHA
2024-12-02T23:27:42Z,@Sawiyah022,UCiYLjbj7acsFTJkVIYJ1mAw,1,"Alhamdulillah BPK pemimpin bangsa kita sa,at ini, 3 periode saya memilih BPK sekarang berhasil ......selamat BPK kmi ,semoga BPK selalu sehat dn selalu dlm perlindungan dr Allah .",Neutral,IlfOrVlcVHA
2024-12-02T23:14:12Z,@alfinasyarifah2688,UCR08crj1Hm5oHDTZbvGDr9A,2,Barokallohulaka jazakumulloh Khoiron BPK presiden RI Prabowo Subianto panjang umurnya sehat selalu yaa Alloh aamiin yaa robbal 'alamiin aamiin 🤲 🤲 🤲 🙏♥️♥️♥️ walau kami hanya SBG guru ngaji Qur'an ikut berbahagia Krn dulu kami pendidik SMA...Krn persaingan kami dikeluarkan ...SMG yg ngeluarkan kami diberi ampun sama Alloh SWT 😢😢😢❤❤❤,Neutral,IlfOrVlcVHA
2024-12-02T20:21:09Z,@EnsifaidanEnika,UChCUXQoCxbK54f5F0KvNF9A,0,"BPK Prabowo presiden yg luarbiasa.
Dua periode untk seluruh rakyt Indonesia.
X dr Papua Barat daya.x guru PPPK.terimaksh BP presidn BP Prabowo subianto.slm dua periode.bpk luarbiasa.",Neutral,IlfOrVlcVHA
2024-12-02T20:06:22Z,@EnsifaidanEnika,UChCUXQoCxbK54f5F0KvNF9A,0,"Luarbiasa BPK Prabowo presiden kita.x dr Papua Barat daya.
BPK Prabowo memng BPK yg cerdas bijaksana dn terhormat.",Neutral,IlfOrVlcVHA
2024-12-02T20:00:29Z,@EnsifaidanEnika,UChCUXQoCxbK54f5F0KvNF9A,0,"Luarbiasa BPK presiden prabowo.bpk presiden yg handal terhormat santun,beretika dr sglny",Neutral,IlfOrVlcVHA
2024-12-02T17:16:00Z,@AndiKa-y9i,UCgIxuhhK4-oEeisRFC2MxXQ,0,Pak ko gaji guru aja yng naik gaji buruh harian bagai mana kalau bisa pak bbm diturunkan juga,Neutral,IlfOrVlcVHA
2024-12-02T16:43:54Z,@putraaner5336,UC7Kdb-sjom80mbE-sKv2iUQ,0,"Jangan cakap saja pak prabowo bukti kn dulu dgn bagi naik gaji guru...jgn asik berucap saja war2 ..yg penting nya tu ..bukti kn dulu naik kn gaji guru secepat nya..gaji apa guru rp 2 juta ..sekurang2 nya guru gaji rp 8 juta .hingga rp 15 juta..ayuh pak prabowo bukti kn dulu ..jgn asik berucap saja itu semua tak penting..
Yg penting bukti kn dulu dgn naik kn gaji guru secepat nya..jangan di tunggu lagi .naik kn gaji guru secepat nya..",Neutral,IlfOrVlcVHA
2024-12-02T16:05:17Z,@miul5486,UCe29_gUGALl9Qx7AuS4IRgQ,0,Hentikan pembangunan desa yang gak penting. Lahan korupsi,Neutral,IlfOrVlcVHA
2024-12-02T15:17:36Z,@ZahroMunggu23,UCZtH1oCmCRebIH7sunOhcFQ,0,Gaji guru BTQ dan guru ngaji di TPQ juga mohon di perhatikan juga Pak Presiden,Neutral,IlfOrVlcVHA
2024-12-02T13:23:28Z,@masadepan6209,UCKQE27tdxNBk2IctA6EvF2w,5,Padahal guru banyak gak dukung beliau saat pilpres tapi beliau balas dengan kenaikan Gaji Guru....luar biasa bapak ini...,Neutral,IlfOrVlcVHA
2024-12-02T13:17:57Z,@bunabevannasution11,UCCtlKHpY_RMXKATejZflA-A,0,"Bapak kalau pidato selalu kenak dihati, ucapannya menenangkan masyarakat, ucapannya bisa dipegang dan dipertanggung jawab kan, trimakasih PRESIDEN KU 🙏😊",Neutral,IlfOrVlcVHA
2024-12-02T13:10:28Z,@idris.b6181,UCdVHzzmrkGgLlX_x5ZLcp_g,0,"Habis gelap terbilah terang ,Bapak Prabowo  subianto, Bapak  peresiden ku luarbiasa ,merah putih betul betul  tak memiliki noda lagi.semoga allah memberkahinya  selalu.",Neutral,IlfOrVlcVHA
2024-12-02T12:57:28Z,@direx_335,UCOI5QR7e4rYxWFUcSpLBH2g,0,"Dulu alm gusdur yg manaikkan gaji guru, semoga presiden ini juga barhasil.❤",Neutral,IlfOrVlcVHA
2024-12-02T12:36:27Z,@gunawansuprapto5216,UC18lf8hvAHXoQbttzMwBfSg,0,"menyala jendral, menyala presidenku.",Neutral,IlfOrVlcVHA
2024-12-02T12:29:02Z,@susrianingsubarna1530,UCHudpn358cAouokg0XpnxWQ,0,Semoga Bapak Presiden Prabowu sehat selalu Amiin 🤲🤲🤲,Neutral,IlfOrVlcVHA
2024-12-02T12:09:30Z,@sitinurw706,UCCR0yYDOXerNIdf61J-FM9A,0,Luar biasa 👍Semoga Pak Prabowo  selalu amanah  sehat  panjang umur dan melalui pendidikan Indonesia semakin maju di dunia internasional ..Aamiin YRA🤲,Neutral,IlfOrVlcVHA
2024-12-02T12:00:17Z,@timanur1899,UCaqBtrDotsuqQNZOCTNSZMg,1,"Terimakasi bapak  presiden, mohon perhatiannya, saya kurang lebih 20thn guru honor, umur Uda pensiun, tapi Masi tetap  saya mengajar😭🙏",Neutral,IlfOrVlcVHA
2024-12-02T11:48:55Z,@CENCENGCENCENG-t1f,UC0t7zNaxgVTZ6XZ3JVT3upg,0,Setuju,Neutral,IlfOrVlcVHA
2024-12-02T11:37:45Z,@WRedblack,UCn2xx_71xrQvmOv73EaF9mA,0,sekalian kualitas gurunya juga ditingkatkan,Neutral,IlfOrVlcVHA
2024-12-02T11:34:13Z,@mariasedia8415,UCX4DCwFffcbquxPNjfnRcdg,1,Bapak presiden tolong sejahterakan nasip guru honorer dan guru swasta yang gajinya hanya 300 pe bulan,Neutral,IlfOrVlcVHA
2024-12-02T10:24:03Z,@rajashariff,UCxRNWgdr3qwMfQgrOD1oY_Q,0,"Semoga Pak Prabowo terus sihat memimpin Indonesia maju di masa depan, salam dari anak Melayu Malaysia buat Pak Prabowo, Presiden Indonesia yang paling kuhormati 🤲❤",Neutral,IlfOrVlcVHA
2024-12-02T10:21:54Z,@JinggaFhifiyanaDaat,UCQbNx9ohcIruSO82QtHzlVQ,0,Masha Allah Luar Biasa Hati Bapak Presiden Kami Sehat Selalu Bapk Prabowo🤲🙏🥰💜,Neutral,IlfOrVlcVHA
2024-12-02T10:15:42Z,@ruselan59,UCqoeyQKmKsNNeWEisznFvJw,0,Saya melayu malaysia tetap menyokong apa juga yg baik dari presiden anda untuk memajukan negara anda,Neutral,IlfOrVlcVHA
2024-12-02T09:59:05Z,@totoktugasutomo4525,UCJ2daKyeLjt6nZ7eFOGZ2WA,0,Nangis karena gak ada duitnya ya?,Neutral,IlfOrVlcVHA
2024-12-02T09:56:42Z,@ainiastuti1203,UC5EvTfFJz6cB6k0HIZazNog,1,"Setuju 🇮🇩❤️✌️hebat 
Presiden H Prabowo Subianto luar biasa ,luar biasa .Presiden ke 8.❤",Neutral,IlfOrVlcVHA
2024-12-02T09:36:21Z,@pamantripedalamanpapua8319,UCacwRyqLqygJR4E5mlV_ENw,0,"Tanpa sadar, meneteskan air mata, mendengarkan pidato bapak Presidenku.
Semoga sehat terus Presidenku.
🤲",Neutral,IlfOrVlcVHA
2024-12-02T09:30:25Z,@pamantripedalamanpapua8319,UCacwRyqLqygJR4E5mlV_ENw,0,"Sangat terharu mendengar pidato bapak Prabowo. Niatmu sangat mulia. Semoga sehat terus bapak Presiden, dan negara kita bisa menjadi negara Maju yg rakyatnya cerdas2 dan sejahtera.
Aamiiinnnn
🤲🤲🤲",Neutral,IlfOrVlcVHA
2024-12-02T09:10:57Z,@kamaruddinkamaruddin5295,UCjxd9tCjkLMsJyMAVTzTA8g,1,Siap pak presidenku saya guru honorer tdk pernah menyerah mendidik pada peserta didik demi anak  Bangsa dan Negara,Neutral,IlfOrVlcVHA
2024-12-02T09:05:23Z,@niaanggraini1089,UCOmNp0o5PlsGnEy_0YKkG1Q,0,I love you pak❤️,Positive,IlfOrVlcVHA
2024-12-02T08:49:34Z,@sentoro129,UCXowtZ2vWAZqvF22yIT8TAQ,0,Pak Prabowo Presiden pilihan rakyat is the best❤❤❤,Neutral,IlfOrVlcVHA
2024-12-02T08:33:23Z,@CucuRuhendi-o6v,UCrbkUcnclriw8nChu9sf8Vg,0,jangan dua periode 1 setengah periode juga ngak tau kalau banyak dubes nya.gimana para guru setuju,Neutral,IlfOrVlcVHA
